Transfers of major conventional arms from China   to All countries . Deals with deliveries made for the year range '2000' to '2025' 
A '?' in a column indicates uncertain data. The 'Deliveries in the Year Range' and the 'Year(s) of deliveries' refer only to deliveries in the selected year(s).
An empty field for 'Number ordered' indicates that data is not yet available.
SIPRI trend-indicator values (TIVs) are in millions.
An empty field for 'SIPRI TIV for total order' indicates that data (on the number ordered and/or the TIV per unit) is not available.
A '0' for 'SIPRI TIV of delivered weapons' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV; and an empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV and explanations of the conventions; abbreviations and acronyms see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 14 Jul 2026 2:55:04 PM
Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Deliveries in the Year Range, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Equatorial Guinea,China,2017,?,26,?,WZ-551,armoured personnel carrier,26,?,2018,New,,0.35,9.1,9.1
Equatorial Guinea,China,2020,?,25,?,Red Arrow-8,anti-tank missile,25,?,2021,New,,0.01,0.25,0.25
Equatorial Guinea,China,2008,?,1,,Salamandra -,landing ship,1,,2009,New,Equatorial Guinean designation Osa; probably sold via Ukraine and possibly designed in Ukraine and produced in China; armament and radars fitted in Ukraine,35.9,35.9,35.9
Ethiopia,China,2021,,2,?,Wing Loong-1,armed drone,2,?,2021,New,,3,6,6
Ethiopia,China,2019,?,4,?,A-200 301mm,multiple rocket launcher,4,?,2020,New,,0.5,2,2
Ethiopia,China,2012,?,1,?,HQ-64,surface-to-air missile system,1,?,2013,New,,30,30,30
Ethiopia,China,2012,?,75,?,PL-11,long-range air-to-air missile,75,?,2013,New,For HQ-64 SAM system,0.18,13.5,13.5
Ethiopia,China,2011,?,10,?,Type-89/ZSD-89,armoured personnel carrier,10,?,2013,New,,0.3,3,3
Ethiopia,China,2011,?,20,?,WZ-551,armoured personnel carrier,20,?,2012; 2013; 2014,New,,0.35,7,7
Ethiopia,China,2019,?,10,?,BP-12A,surface-to-surface missile,10,?,2020,New,For A-200 MRL,2.25,22.5,22.5
Ethiopia,China,2017,?,4,?,PHL-03 300mm,multiple rocket launcher,4,?,2018; 2019,New,,2.2,8.8,8.8
Ethiopia,China,2021,?,32,?,PLC-181 155mm,self-propelled gun,32,?,2022,New,SH-15 version,1.35,43.2,43.2
Gabon,China,2004,?,10,?,Type-63 130mm,multiple rocket launcher,10,?,2004,New,Designation uncertain (reported as 130mm MRL),0.35,3.5,3.5
Gabon,China,2004,?,4,?,Type-90 122mm,multiple rocket launcher,4,?,2004,New,Designation uncertain (reported as 122mm MRL),0.6,2.4,2.4
Gabon,China,2004,?,16,?,Type-63 107mm,multiple rocket launcher,16,?,2004,New,,0.05,0.8,0.8
Gabon,China,2019,?,16,?,VP-11,armoured personnel carrier,16,?,2021,New,,0.15,2.4,2.4
Gabon,China,2005,?,3,?,ZFB-05,armoured personnel carrier,3,?,2006,New,,0.13,0.39,0.39
Gabon,China,2005,?,3,?,WZ-523,armoured personnel carrier,3,?,2006,New,,0.22,0.66,0.66
Gabon,China,2024,,4,?,Assaulter,fire-support vehicle,4,?,2024,New,,1.3,5.2,5.2
Gabon,China,2018,?,19,?,Type-07P,infantry fighting vehicle,19,?,2019,New,,1.3,24.7,24.7
Ghana,China,2009,,48,,ZFB-05,armoured personnel carrier,48,?,2009,New,,0.13,6.24,6.24
Ghana,China,2006,,4,,K-8,trainer/combat aircraft,4,?,2007,New,Partly paid with 1 second-hand Gulfstream-3 transport aircraft,3.5,14,14
Ghana,China,2023,?,4,?,Type-81 122mm,multiple rocket launcher,4,?,2023,New,,0.6,2.4,2.4
Ghana,China,2004,?,3,?,Type-81 122mm,multiple rocket launcher,3,?,2004,New,,0.6,1.8,1.8
Ghana,China,2009,,4,,Type-062-1G,patrol boat,4,,2011,New,Designation uncertain,14,56,56
Ghana,China,2001,?,6,?,D-30 122mm,towed gun,6,?,2001,New,Supplier uncertain; possibly second-hand,0.35,2.1,2.1
Ghana,China,2009,?,10,?,WZ-523,armoured personnel carrier,10,,2010,New,Probably aid,0.22,2.2,2.2
Ghana,China,2012,?,24,?,WZ-523,infantry fighting vehicle,24,?,2013,New,,0.9,21.6,21.6
Ghana,China,2014,,4,,Z-9,helicopter,4,,2015,New,Z-9EH version,3.25,13,13
Ghana,China,2015,?,100,,FN-6,portable surface-to-air missile,100,,2016,New,Designation uncertain (reported as 'MANPADS'),0.08,8,8
Ghana,China,2012,?,4,?,WZ-523,armoured personnel carrier,4,?,2013,New,Ambulance version,0.22,0.88,0.88
Guinea,China,2020,?,5,?,CSK-131,armoured personnel carrier,5,?,2021,New,,0.14,0.7,0.7
Guinea,China,2009,?,2,?,WZ-551,armoured personnel carrier,2,?,2010,New,WZ-551A or WZ-551B version,0.35,0.7,0.7
Guyana,China,2001,?,1,,Y-12,light transport aircraft,1,,2002,New,,2.5,2.5,2.5
Indonesia,China,2017,?,6,?,CH-4B,armed drone,6,?,2019; 2020,New,,4,24,24
Indonesia,China,2016,?,2,,NG-18 30mm,naval gun,2,,2017,New,For modernization of 2 KCR-60 FAC,1,2,2
Indonesia,China,2017,?,40,?,AR-2,air-to-surface/anti-ship missile,40,?,2021,New,For CH-4 UAV,0.04,1.6,1.6
Indonesia,China,2017,?,40,?,AR-1,air-to-surface missile,40,?,2019; 2020,New,For CH-4 UAV,0.05,2,2
Indonesia,China,2006,?,130,?,QW-3,portable surface-to-air missile,130,?,2006; 2007,New,Incl for Indonesian UN peacekeeping force in Lebanon,0.1,13,13
Indonesia,China,2008,,2,,TD-2000,anti-aircraft gun/surface-to-air missile system,2,?,2013,New,$35 m deal; TD-2000B version,17.5,35,35
Indonesia,China,2009,,15,?,QW-3,portable surface-to-air missile,15,?,2010,New,,0.1,1.5,1.5
Indonesia,China,2009,?,8,?,Type-360 Seagull,air-search radar,8,?,2011; 2012; 2013; 2014,New,For 8 KCR-40 FAC produced in Indonesia; designation and supplier uncertain,5,40,40
Indonesia,China,2008,,200,?,QW-3,portable surface-to-air missile,200,?,2013,New,For TD-2000B air-defence systems,0.1,20,20
Indonesia,China,2009,,3,?,TH-5711 Smart Hunter,air-search radar,3,?,2011,New,For use with QW-3 SAM,1,3,3
Indonesia,China,2014,?,1,,Type-825 30mm,naval gun,1,,2015,New,For modernization of 1 Pattimura (Parchim) corvette,10,10,10
Indonesia,China,2005,,3,?,C-802,anti-ship missile,3,?,2008,New,Part of $11.2 m deal; for PB-57 (Todak) FAC; for evaluation,0.9,2.7,2.7
Indonesia,China,2015,,4,,GDF 35mm,anti-aircraft gun,4,,2016,New,Type-90 version,0.75,3,3
Indonesia,China,2015,,1,,Skyguard,air-search/fire-control radar,1,,2016,New,AF-902 version for use with GDF (Type-90) 35mm anti-aircraft guns,5,5,5
Indonesia,China,2015,,4,,Type-90 122mm,multiple rocket launcher,4,,2016,New,Type-90B version,0.6,2.4,2.4
Indonesia,China,2016,,1,,Type-825 30mm,naval gun,1,,2017,New,For modernization of 1 Pattimura (Parchim) corvette,10,10,10
Indonesia,China,2009,?,8,?,Type-347G,fire-control radar,8,?,2015; 2016,New,Type-347G(2) for 8 KCR-40 FAC produced in Indonesia,2.5,20,20
Indonesia,China,2013,?,8,?,NG-18 30mm,naval gun,8,?,2013; 2014,New,For 8 KCR-40 missile boats produced in Indonesia,1,8,8
Indonesia,China,2011,?,80,?,C-705,anti-ship missile,80,?,2014; 2015; 2016; 2017; 2018; 2019,New,For KCR-40 and KCR-60 missile boats; including assembly from kits or production under licence in Indonesia,0.8,64,64
Indonesia,China,2023,?,50,?,QW-3,portable surface-to-air missile,50,?,2024,New,QW-19 version,0.1,5,5
Indonesia,China,2011,,25,?,C-802,anti-ship missile,25,?,2012; 2013; 2014; 2015; 2016,New,For PB-57 (Todak) FAC and Van Speyk (Ahmad Yani) frigates,0.9,22.5,22.5
Iran,China,1993,?,1100,?,QW-1 Vanguard,portable surface-to-air missile,850,?,2000; 2001; 2002; 2003; 2004; 2005; 2006,New,Iranian designation Misagh-1,0.07,77,59.5
Iran,China,1998,?,100,?,FL-6,anti-ship missile,94,?,2000; 2001; 2002; 2003; 2004; 2005; 2006; 2007; 2008; 2009; 2010; 2011; 2012; 2013; 2014,New,Developed or copied by China from Italian Sea Killer (Marte-2) anti-ship missile supplied by Iran to China; produced under licence in Iran as Fajr-e Darya; incl for SH-3D helicopters; status since 2010 uncertain (due to UN arms embargo),0.5,50,47
Iran,China,2002,?,150,?,TL-10,anti-ship missile,150,?,2004; 2005; 2006; 2007; 2008; 2009; 2010; 2011; 2012; 2013; 2014; 2015,New,TL-10A and possibly TL-10B versions; produced under licence in Iran as Kowsar; status since 2010 uncertain (due to UN arms embargo),0.3,45,45
Iran,China,1998,?,40,?,C-701,anti-ship missile,40,?,2001; 2002; 2003; 2004,New,For China Cat missile boats; C-701T and possibly C-701R version; possibly assembled/produced in Iran as Noor; Kosar or Fajr-e Darya,0.25,10,10
Iran,China,1998,?,6,?,Crotale,surface-to-air missile system,5,?,2000; 2001; 2002; 2003; 2004,New,HQ-7 (FM-80) version; possibly incl production under licence in Iran as Shahab Thaqeb,15,90,75
Iran,China,2003,?,50,?,C-704,anti-ship missile,50,?,2010; 2011,New,Developed for Iran; produced under licence in Iran as Nasr-1,0.4,20,20
Iran,China,2004,?,50,?,C-801,anti-ship missile,50,?,2006; 2007; 2008; 2009; 2010; 2011; 2012; 2013; 2014; 2015,New,Produced under licence in Iran as Kosar and/or Sagheb; incl submarine-launched version; status since 2010 uncertain (due to UN arms embargo),0.75,37.5,37.5
Iran,China,1992,,380,,C-802,anti-ship missile,260,?,2000; 2001; 2002; 2003; 2004; 2005; 2006; 2007; 2008; 2009; 2010; 2011; 2012,New,Incl for Hudong (Thondor); new-produced and modernized Combattante-2 (Kaman) missile boats and coast defence systems; possibly incl air-launched version; produced under licence in Iran as designation Tondar or Noor; status since 2010 uncertain (due to UN arms embargo),0.9,342,234
Iran,China,1996,?,150,?,Type-86,armoured personnel carrier,120,?,2000; 2001; 2002; 2003; 2004; 2005; 2006; 2007; 2008; 2009; 2010; 2011,New,Incl infantry fighting vehicle; tank destroyer; mortar-carrier and command versions; produced under licence in Iran as Boraq,0.3,45,36
Iran,China,1998,?,250,?,R-440 Crotale,surface-to-air missile,210,?,2000; 2001; 2002; 2003; 2004,New,HQ-7 (FM-80) version; for HQ-7 air-defence systems; possibly produced under licence in Iran as Shahab Thaqeb,0.11,27.5,23.1
Iran,China,2000,?,9,?,China Cat,missile boat,9,?,2001; 2002; 2003; 2004,New,Incl 4 modified version (without anti-ship missiles),7.5,67.5,67.5
Iran,China,1996,?,3,?,JY-14,air-search radar,2,?,2000; 2001,New,,13.5,40.5,27
Iran,China,2005,?,650,,QW-11,portable surface-to-air missile,650,?,2006; 2007; 2008; 2009; 2010; 2011; 2012; 2013; 2014; 2015,New,Produced under licence in Iran as Misagh-2; status since 2010 uncertain (due to UN arms embargo),0.08,52,52
Iraq,China,2014,?,20,?,CH-4B,armed drone,20,?,2015; 2016,New,,4,80,80
Iraq,China,2014,?,100,?,AR-1,air-to-surface missile,100,?,2015; 2016,New,For CH-4B UAV,0.05,5,5
Iraq,China,2023,?,6,?,CH-5,armed drone,1,,2024,New,,7.5,45,7.5
Iraq,China,2002,,5,,Predator,patrol boat,5,,2004,New,Funded by US aid,4,20,20
Iraq,China,2014,?,100,?,FT-9,guided bomb,100,?,2015; 2016,New,For CH-4B UAV,0.01,1,1
Iraq,China,2023,?,,,VN-22,armoured personnel carrier,1,?,2024,New,Produced under licence in Iraq,0.35,0,0.35
Jordan,China,2023,?,10,?,SR-5,multiple rocket launcher,10,?,2023; 2024,New,,2.2,22,22
Jordan,China,2015,?,6,?,CH-4B,armed drone,6,,2016,New,,4,24,24
Jordan,China,2004,?,150,?,W-86 120mm,mortar,150,,2005,New,,0.25,37.5,37.5
Jordan,China,2014,,20,?,QW-2,portable surface-to-air missile,20,?,2014,New,Designation uncertain (reported as 'MANPADS'),0.07,1.4,1.4
Jordan,China,2009,?,4,?,WM-80 273mm,multiple rocket launcher,4,?,2010,New,,0.6,2.4,2.4
Kazakhstan,China,2023,?,,,VN-20 turret,infantry fighting vehicle turret,3,?,2025,New,For ARMA infantry fighting vehicle from Turkiye,0.7,0,2.1
Kazakhstan,China,2015,,50,?,Blue Arrow-7,anti-tank missile,50,?,2016,New,For Wing Loong-2 UCAV,0.04,2,2
Kazakhstan,China,2015,?,3,?,Wing Loong-1,armed drone,3,,2016,New,,3,9,9
Kenya,China,2006,?,32,,WZ-551,armoured personnel carrier,32,,2007,New,,0.35,11.2,11.2
Kenya,China,2015,,35,?,VN-4,armoured personnel carrier,35,,2016,New,For police,0.16,5.6,5.6
Kenya,China,2016,?,25,,CS/VP3,armoured personnel carrier,25,,2016,New,For police,0.3,7.5,7.5
Kenya,China,2009,,4,?,Z-9,helicopter,4,?,2010,New,Z-9WA armed version,3.25,13,13
Kenya,China,2012,,5,,Z-9,helicopter,5,,2014; 2015,New,Z-9WA armed version,3.25,16.25,16.25
Kenya,China,2018,?,5,?,CS/VP-14,armoured personnel carrier,5,?,2018,New,,0.16,0.8,0.8
Kenya,China,1999,?,6,,Y-12,light transport aircraft,6,,2000,New,,2.5,15,15
Kuwait,China,1998,,27,,PLZ-45 155mm,self-propelled gun,27,?,2000; 2001,New,Part of $187 m deal,1.35,36.45,36.45
Kuwait,China,2001,,24,?,PLZ-45 155mm,self-propelled gun,24,?,2002; 2003,New,Part of $200 m deal,1.35,32.4,32.4
Kuwait,China,1998,,27,,PCZ-45,armoured supply vehicle,27,?,2000; 2001,New,Part of $187 m deal,0.45,12.15,12.15
Kuwait,China,2001,,24,?,PCZ-45,armoured supply vehicle,24,?,2002; 2003,New,Part of $200 m deal,0.45,10.8,10.8
Kuwait,China,2001,,4,?,Type-85,armoured personnel carrier,4,?,2002; 2003,New,Part of $200 m deal; ZCY-45 and ZCL-45 command post versions for use with PLZ-45 self-propelled guns,0.3,1.2,1.2
Kuwait,China,1998,,1,?,Type-84,armoured recovery vehicle,1,?,2000,New,Part of $187 m deal,1,1,1
Kuwait,China,1998,,4,?,Type-85,armoured personnel carrier,4,?,2000; 2001,New,Part of $187 m deal; ZCY-45 and ZCL-45 command post versions for use with PLZ-45 self-propelled guns,0.3,1.2,1.2
Kuwait,China,2001,,1,?,Type-84,armoured recovery vehicle,1,?,2003,New,Part of $200 m deal,1,1,1
Laos,China,2018,?,2,?,CH-4B,armed drone,2,,2019,New,Designation uncertain (reported as 'unmanned combat aerial vehicles'),4,8,8
Laos,China,2017,?,12,?,SR-5,multiple rocket launcher,12,?,2018,New,,2.2,26.4,26.4
Laos,China,2010,,2,,MA-60,transport aircraft,2,,2012,New,MA-600 version,8,16,16
Laos,China,2012,?,2,,MA-60,transport aircraft,2,,2013,New,MA-600 version,8,16,16
Laos,China,2015,?,9,?,LE-500 Little Eagle,light aircraft,9,?,2015; 2017,New,,0.24,2.16,2.16
Laos,China,2017,?,50,?,TY-90,short-range air-to-air missile,50,?,2018,New,For Yitian air-defence systems,0.14,7,7
Laos,China,2016,?,16,?,Tiger,armoured personnel carrier,16,?,2017; 2018; 2019,New,,0.15,2.4,2.4
Laos,China,2017,,3,?,CS/SH-1 122mm,self-propelled gun,3,?,2018,New,,0.7,2.1,2.1
Laos,China,2006,?,2,?,Z-9,helicopter,2,?,2008,New,Z-9A version,3.25,6.5,6.5
Laos,China,2022,?,20,?,CSK-181 ,armoured personnel carrier,20,?,2023,New,,0.16,3.2,3.2
Laos,China,2017,,3,?,Yitian,mobile surface-to-air missile system,3,?,2018,New,,10,30,30
Malawi,China,2021,?,2,,MA-60,transport aircraft,2,,2022,New,Aid; MA600 version,8,16,16
Malaysia,China,2017,,4,,LMS-68,patrol ship,4,,2019; 2021; 2022,New,MYR1 b deal ($256 m; originally ordered for MYR1.2 b incl production under licence in Malaysia but changed to all produced in China); Malaysian designation Keris,27.5,110,110
Malaysia,China,2008,,64,,FN-6,portable surface-to-air missile,64,?,2009,New,,0.08,5.12,5.12
Mali,China,2022,?,80,?,VP-11,armoured personnel carrier,80,?,2023,New,,0.15,12,12
Mali,China,2024,?,5,?,CS/SH-1 122mm,self-propelled gun,5,?,2025,New,,0.7,3.5,3.5
Mali,China,2000,?,2,,Z-9,helicopter,2,,2000,New,Aid; Z-9B version,3.25,6.5,6.5
Mali,China,2016,?,2,,Y-12,light transport aircraft,2,,2017,New,Y-12E version,2.5,5,5
Mali,China,2024,?,5,?,CSSM-5 120mm,self-propelled mortar,5,?,2025,New,,0.45,2.25,2.25
Mali,China,2024,?,5,?,VN-22B,fire-support vehicle,5,?,2025,New,,1.6,8,8
Mali,China,2017,?,3,,ZFB-05,armoured personnel carrier,3,,2017,New,,0.13,0.39,0.39
Mali,China,2020,?,22,?,WZ-551,armoured personnel carrier,22,?,2021; 2023,New,VN-2C version,0.35,7.7,7.7
Mali,China,2024,?,36,?,CS/VP-14,armoured personnel carrier,36,?,2025,New,,0.16,5.76,5.76
Mali,China,2024,?,5,?,SR-5,multiple rocket launcher,5,?,2025,New,,2.2,11,11
Mali,China,2024,?,3,?,VN-22,armoured personnel carrier,3,?,2025,New,,0.35,1.05,1.05
Mauritania,China,2014,?,2,,Huangpu,patrol boat,2,,2016,New,,17,34,34
Mauritania,China,2001,?,1,,Huangpu,patrol boat,1,,2002,New,Mauritanian designation Limam el Hadrami,17,17,17
Mauritania,China,2023,?,75,?,TY-90,short-range air-to-air missile,75,?,2024,New,For Yitian-L SAM systems,0.14,10.5,10.5
Mauritania,China,2023,?,8,?,Yitian,mobile surface-to-air missile system,8,?,2024,New,,10,80,80
Mauritania,China,2023,?,2,?,BZK-005E,reconnaissance drone,2,?,2024,New,BZK-005E version,3.5,7,7
Mauritania,China,2023,?,20,?,Assaulter,fire-support vehicle,20,?,2024,New,,1.3,26,26
Mauritania,China,2023,?,60,?,Red Arrow-9,anti-tank missile,60,?,2023,New,,0.04,2.4,2.4
Mauritania,China,2009,?,12,?,Type-81 122mm,multiple rocket launcher,12,?,2010,New,,0.6,7.2,7.2
Mauritania,China,2002,?,2,,Z-9,helicopter,2,,2003,New,,3.25,6.5,6.5
Mauritania,China,2016,,1,,Wuchang-1750,landing ship,1,,2019,New,Mauritanian designation Nimlane,25,25,25
Mexico,China,2006,,13,,Model-56 105mm,towed gun,13,,2006,New,$14 m deal; Type-90 (M-90) version,0.45,5.85,5.85
Morocco,China,2016,,150,?,DK-10,surface-to-air missile,150,?,2017; 2018,New,For Sky Dragon-50 SAM systems,0.4,60,60
Morocco,China,2016,,3,,Sky Dragon-50,surface-to-air missile system,3,?,2017; 2018,New,,45,135,135
Morocco,China,2009,?,54,?,Type-90-2M,tank,54,,2010,New,,3.7,199.8,199.8
Morocco,China,2009,?,12,?,PHL-03 300mm,multiple rocket launcher,12,,2010,New,,2.2,26.4,26.4
Morocco,China,2010,?,100,?,Red Arrow-8,anti-tank missile,100,?,2010,New,,0.01,1,1
Morocco,China,2010,?,75,?,PL-9,short-range air-to-air missile,75,?,2011; 2012,New,For Sky Shield air defence systems,0.11,8.25,8.25
Morocco,China,2020,?,100,?,Red Arrow-9,anti-tank missile,100,?,2021; 2022,New,Red Arrow-9A (HJ-9A) version,0.04,4,4
Morocco,China,2022,?,2,?,Wing Loong-2,armed drone,2,?,2022; 2023,New,,4,8,8
Morocco,China,2010,?,6,?,Sky Shield,anti-aircraft gun/surface-to-air missile system,6,?,2011; 2012,New,,10,60,60
Mozambique,China,2015,?,12,?,ZFB-05,armoured personnel carrier,12,?,2016,New,,0.13,1.56,1.56
Mozambique,China,2015,?,12,?,VN-3,armoured personnel carrier,12,,2016,New,Designation uncertain (reported as 'armoured combat vehicles'),0.14,1.68,1.68
Mozambique,China,2013,?,12,?,WZ-551,armoured personnel carrier,12,?,2014,New,Inc at least 1 receovery version,0.35,4.2,4.2
Mozambique,China,2018,?,23,?,Tiger,armoured personnel carrier,23,,2018,New,,0.15,3.45,3.45
Myanmar,China,2023,?,3,?,Y-8,transport aircraft,3,,2024; 2025,New,Y-8F-200W version,23,69,69
Myanmar,China,2001,,8,?,AK-230 30mm,naval gun,8,?,2004; 2005; 2007,New,For 4 Myamnar missile boats produced in Myanmar; supplier uncertain,1,8,8
Myanmar,China,2020,?,1,?,Type-035G,submarine,1,,2021,Second hand,Second-hand; Type-035B version; Myanmarese designation Minye Kyaw Htin,28,28,28
Myanmar,China,2020,?,4,,Y-12,light transport aircraft,4,,2021,New,Y-12-IV version,2.5,10,10
Myanmar,China,2008,?,6,?,SH-1 155mm,self-propelled gun,6,?,2009,New,,1.1,6.6,6.6
Myanmar,China,2015,?,6,?,JF-17 Thunder,fighter/ground-attack aircraft,6,?,2018; 2019,New,Incl 2 JF-17B trainer/combat version,17.5,105,105
Myanmar,China,2009,,48,?,K-8,trainer/combat aircraft,28,?,2011; 2015; 2021; 2022; 2023; 2024,New,K-8W version; incl assembly in Myanmar,3.5,168,98
Myanmar,China,2013,?,7,?,KS-1A,surface-to-air missile system,7,?,2015; 2016; 2017,New,Incl KS-1M version assembled or pproduced under licence in Myanmar,47,329,329
Myanmar,China,2021,?,1,?,Y-8,transport aircraft,1,,2022,New,Y-8F-200W version,23,23,23
Myanmar,China,2019,?,3,?,Assaulter 105mm,tank turret,3,?,2022,New,For MMT-40 light tanks produced in Myanmar,0.8,2.4,2.4
Myanmar,China,2006,,1,?,Aung Zeya,frigate,1,,2011,New,Produced under licence in Myanmar,234,234,234
Myanmar,China,2015,?,25,?,C-802A,anti-ship/land-attack missile,25,?,2018; 2019,New,C-802AK version; for JF-17 combat aircraft,1,25,25
Myanmar,China,2015,?,40,?,PL-5E,short-range air-to-air missile,40,?,2018; 2019,New,For JF-17 combat aircraft; PL-5E-II version,0.11,4.4,4.4
Myanmar,China,2002,?,25,?,Type-59D,tank,25,?,2004,New,Probably second-hand Type-59 rebuilt to Type-59D before delivery,2.25,56.25,56.25
Myanmar,China,2010,?,10,?,ZFB-05,armoured personnel carrier,10,?,2011,New,,0.13,1.3,1.3
Myanmar,China,2011,?,25,?,HY-2/SY-1A,anti-ship missile,25,?,2012,Second hand,Probably second-hand; for Type-053 (Jianghu-2) frigates,0.28,7,7
Myanmar,China,2009,?,20,?,C-802,anti-ship missile,20,?,2013; 2014,New,For FAC-491 FAC,0.9,18,18
Myanmar,China,2015,?,25,?,PL-12,long-range air-to-air missile,25,?,2018; 2019,New,For JF-17 combat aircraft,0.5,12.5,12.5
Myanmar,China,2010,?,20,?,Type-81 122mm,multiple rocket launcher,20,?,2012,New,,0.6,12,12
Myanmar,China,2015,,2,,Y-8,transport aircraft,2,,2016,New,Y-8F-200W version,23,46,46
Myanmar,China,2009,,50,?,Type-90-2M,tank,50,?,2012; 2013,New,,4,200,200
Myanmar,China,2010,?,2,?,Type-360 Seagull,air-search radar,2,,2014; 2015,New,Type-364 Seagull-C version; for 2 Kyan Sit That frigates produced in Myanmar,5,10,10
Myanmar,China,2010,?,2,,Type-347G,fire-control radar,2,,2014; 2015,New,For 2 Kyan Sit That frigates produced in Myanmar; for use with 76mm gun,2.5,5,5
Myanmar,China,2011,?,10,?,C-802,anti-ship missile,10,?,2016,New,For Tabinshwehti corvette produced in Myanmar,0.9,9,9
Myanmar,China,2011,?,2,?,NG-18 30mm,naval gun,2,,2016,New,For 1 Tabinshwehti corvette produced in Myanmar; supplier possibly China,1,2,2
Myanmar,China,2009,?,2,?,NG-18 30mm,naval gun,2,?,2013; 2014,New,For 2 FAC-491 missile boats produced in Myanmar,1,2,2
Myanmar,China,2009,?,2,?,Type-344,fire-control radar,2,,2013; 2014,New,For 2 Type-344 missile boats produced in Myanmar; for use with NG-18 30mm gun,2.5,5,5
Myanmar,China,2009,?,2,?,Type-348,sea-search radar,2,,2013; 2014,New,For 2 FAC-491 missile boats produced in Myanmar,1,2,2
Myanmar,China,2020,,12,,FTC-2000G,trainer/combat aircraft,12,,2022; 2024,New,,10.5,126,126
Myanmar,China,2001,?,30,?,C-801,anti-ship missile,30,?,2004; 2005,New,For Myanmar FAC; designation uncertain (could be C-802),0.75,22.5,22.5
Myanmar,China,1996,?,3,?,Type-344,fire-control radar,3,?,2004; 2005,New,For 3 Myanmar missile boats produced in Myanmar,2.5,7.5,7.5
Myanmar,China,2011,,2,,Type-053H,frigate,2,,2012,Second hand,Second-hand; Type-053H1 (Jianghu-2) version,26,52,52
Myanmar,China,2011,?,76,?,WZ-551,infantry fighting vehicle,76,?,2012; 2013,New,Probably incl ARV version,0.9,68.4,68.4
Myanmar,China,2016,?,25,?,GDF 35mm,anti-aircraft gun,25,?,2017; 2018; 2019; 2020; 2021,New,Type-90 version; probably incl assembled or produced under licence in Myanmar as MAA-01,0.75,18.75,18.75
Myanmar,China,2010,?,100,?,Assaulter,fire-support vehicle,100,?,2012; 2013; 2014; 2015,New,,1.3,130,130
Myanmar,China,2011,?,30,?,C-802,anti-ship missile,30,?,2012,New,For Type-053 (Jianghu-2) frigates,0.9,27,27
Myanmar,China,1997,?,2,?,Anawrahta,corvette,2,,2001; 2003,New,Produced under licence in Myanmar,47.5,95,95
Myanmar,China,2007,?,20,?,C-802,anti-ship missile,20,?,2008; 2009,New,For modernization of 2 frigates,0.9,18,18
Myanmar,China,1991,?,5,?,EFR-1,fire-control radar,5,?,2002; 2003,New,For 5 Myanmar patrol craft produced in Myanmar,3,15,15
Myanmar,China,2005,?,20,?,Type-90 122mm,multiple rocket launcher,20,?,2006,New,,0.6,12,12
Myanmar,China,2008,,5,?,TH-5711 Smart Hunter,air-search radar,5,?,2010,New,,1,5,5
Myanmar,China,2013,?,350,?,KS-1,surface-to-air missile,350,?,2015; 2016; 2017; 2018,New,For KS-1A and KS-1M SAM systems; probably incl KS-1C version; incl assembly or production under licence in Myanmar as GYD-1B,0.17,59.5,59.5
Myanmar,China,2013,?,12,?,CH-3,armed drone,12,?,2014; 2015,New,,2.4,28.8,28.8
Myanmar,China,2015,?,3,?,Y-12,light transport aircraft,3,?,2015; 2016,New,Y-12-IV version,2.5,7.5,7.5
Myanmar,China,1991,?,5,?,Type-76A 37mm,naval gun,3,?,2000; 2001; 2002,New,For 5 Myanmar patrol boats produced in Myanmar,2.5,12.5,7.5
Myanmar,China,2010,?,6,,NG-18 30mm,naval gun,6,,2014; 2015,New,For 2 Kyan Sittha frigates produced in Myanmar,1,6,6
Myanmar,China,2005,?,50,?,CJ-6,trainer aircraft,50,?,2007; 2008; 2009,New,PT-6 version,0.19,9.5,9.5
Namibia,China,2005,?,8,?,F-7MG,fighter aircraft,8,?,2006; 2008,New,F-7NM version; incl 2 FT-7NM trainer/combat version,12.5,100,100
Namibia,China,2009,,2,,Z-9,helicopter,2,,2012,New,H-425 version,3.25,6.5,6.5
Namibia,China,2008,?,21,?,WZ-523,armoured personnel carrier,21,,2009,New,For Namibian UN peacekeeping units,0.22,4.62,4.62
Namibia,China,2012,?,10,?,WZ-523,infantry fighting vehicle,10,?,2013,New,,0.9,9,9
Namibia,China,2010,,1,,Elephant,patrol ship,1,,2012,New,,45,45,45
Namibia,China,2014,,2,,Type-037-1/Haiqing,patrol boat,2,,2017,Second hand but modernized,Second-hand but modernized before delivery; aid; Namibian designation Daures,16.5,33,33
Namibia,China,2024,?,1,?,ASN-209,reconnaissance drone,1,?,2025,New,,0.2,0.2,0.2
Namibia,China,2016,?,50,?,FN-6,portable surface-to-air missile,50,?,2016; 2017,New,,0.08,4,4
Namibia,China,2000,,4,?,K-8,trainer/combat aircraft,4,,2001,New,No. could be up to 12,3.5,14,14
